Course_Name,Category,Subcategory,Description,Skills_Covered,Tags,Difficulty_Level
Computer Science 101: Master the Theory Behind Programming,Development,Computer Science,"This course provides a comprehensive introduction to core computer science concepts, covering topics like data structures, algorithms, and programming paradigms.","Algorithm analysis, data structures (arrays, linked lists, stacks, queues, trees), sorting algorithms, graph theory, hashing algorithms.","Computer Science, Programming Theory, Algorithms, Data Structures",Beginner
Foundations of Computer Science: Theory and Practice,Development,Computer Science,Learn the fundamental topics of computer science and practice them for full mastery.,"Algorithm design, data structures, computational theory, problem-solving.","Computer Science, Theory, Practice, Algorithms",Beginner
The Complete Theory of Computation,Development,Computer Science,This course is designed to give you the theory of computation knowledge and skills you need to become an advanced developer.,"Automata theory, formal languages, Turing machines, decidability, complexity theory.","Theory of Computation, Automata, Turing Machines, Complexity",Intermediate
Theory of Automata and Computation,Development,Computer Science,"This is the most compendious and extensive, yet very straightforward course on the theory of automata and computation.","Automata theory, formal languages, grammar, Turing machines, computational theory.","Automata, Computation, Formal Languages, Turing Machines",Intermediate
Operating Systems from Scratch - Part 1,IT & Software,Operating Systems,Learn the concepts of operating systems from scratch as operating system forms the core of computer science.,"Process management, memory management, file systems, input/output systems, operating system principles.","Operating Systems, Process Management, Memory Management, File Systems",Intermediate
Data Structures & Algorithms Essentials using C++ (2023),Development,Programming Languages,A comprehensive course covering essential data structures and algorithms using C++.,"Arrays, linked lists, stacks, queues, trees, sorting algorithms, graph algorithms, dynamic programming.","Data Structures, Algorithms, C++, Programming",Intermediate
Discrete Mathematics,Development,Computer Science,A foundational course covering a wide range of topics essential for computer science.,"Set theory, logic, number theory, proofs, functions, relations, graph theory, combinatorics.","Discrete Mathematics, Logic, Graph Theory, Combinatorics",Intermediate
Graph Theory Algorithms,Development,Computer Science,Explore the fundamentals of graph theory and its applications.,"Graph representations, search algorithms (DFS, BFS), tree algorithms, shortest path algorithms, network flow.","Graph Theory, Algorithms, Network Flow, Search Algorithms",Intermediate
Computer Science 101 - Computers & Programming for Beginners,Development,Computer Science,An introductory course covering the basics of computers and programming for beginners.,"Algorithms, programming fundamentals, variables, loops, conditional statements, object-oriented programming.","Computer Science, Programming Theory, Algorithms, Data Structures",Beginner
Computational Thinking for Problem Solving,Development,Computer Science,Learn to think computationally and solve real-world problems using a structured approach.,"Problem-solving techniques, abstraction, pattern recognition, algorithms, computational models.","Computational Thinking, Problem Solving, Algorithms, Programming Fundamentals.",Intermediate
Introduction to Information Theory,Development,Computer Science,"Learn the principles of information theory, entropy, coding theory, and data compression.","Entropy, Shannon’s theorem, Huffman coding, lossless/lossy compression, error correction.","Information Theory, Entropy, Data Compression, Coding Theory.",Beginner
Mathematical Foundations of Computer Science,Development,Computer Science,Covers essential mathematical concepts required for theoretical and applied computer science.,"Logic, proof techniques, set theory, combinatorics, probability, graph theory.","Mathematics, Logic, Proof Techniques, Graph Theory.",Beginner
Introduction to Cryptography,IT & Software,Security,"Learn the fundamentals of cryptographic techniques, encryption methods, and security principles.","Symmetric/asymmetric encryption, hashing, RSA, digital signatures, cryptographic protocols.","Cryptography, Encryption, Cybersecurity, Hashing, Security Protocols.",Beginner
Functional Programming Principles in Scala,Development,Programming Languages,Understand the fundamentals of functional programming and how they apply to real-world scenarios.,"Lambda calculus, higher-order functions, recursion, immutability, monads.","Functional Programming, Scala, Lambda Calculus, Higher-Order Functions.",Intermediate
Introduction to Quantum Computing and Quantum Algorithms,Development,Computer Science,A beginner’s guide to the principles of quantum computing and key quantum algorithms.,"Quantum mechanics basics, qubits, quantum gates, Shor’s algorithm, Grover’s search.","Quantum Computing, Qubits, Quantum Algorithms, Superposition, Entanglement.",Beginner
Discrete Mathematics for Computer Science,Development,Computer Science,"Learn essential discrete math concepts required in computer science, including set theory, logic, combinatorics, and graph theory.","Set theory, logic, relations, combinatorics, graph theory, proof techniques.","Discrete Mathematics, Logic, Set Theory, Proof Techniques, Graph Theory.",Intermediate
"Master Discrete Mathematics: Set Theory, Relations, Functions",Development,Computer Science,"Covers fundamental discrete mathematics topics, focusing on sets, relations, and functions with real-world applications.","Set operations, types of relations, functions, equivalence relations, partial orderings.","Set Theory, Relations, Functions, Discrete Structures.",Intermediate
Graph Theory for Beginners,Development,Computer Science,"A comprehensive introduction to graph theory, covering paths, cycles, trees, and applications in computer science.","Graph representation, adjacency matrices, shortest paths, Euler circuits, Hamiltonian paths.","Graph Theory, Graph Algorithms, Trees, Euler Circuits.",Beginner
Logic and Proof Techniques in Discrete Mathematics,Development,Computer Science,"Learn logic, proof strategies, and mathematical reasoning, essential for theoretical computer science.","Propositional logic, predicate logic, direct and indirect proofs, mathematical induction.","Logic, Proof Techniques, Induction, Discrete Structures.",Intermediate
Combinatorics and Probability in Discrete Mathematics,Development,Computer Science,"Covers permutations, combinations, binomial theorem, probability, and their applications in computer science.","Counting principles, probability theory, binomial coefficients, Pascal’s triangle, inclusion-exclusion principle.","Combinatorics, Probability, Counting, Binomial Theorem.",Intermediate
Boolean Algebra and Digital Logic,IT & Software,Hardware,"Understand Boolean algebra, logic gates, and circuit design for digital computing.","Boolean expressions, Karnaugh maps, logic simplification, combinational and sequential circuits.","Boolean Algebra, Logic Gates, Digital Circuits, Karnaugh Maps.",Intermediate
Introduction to Number Theory for Cryptography,IT & Software,Security,"Learn number theory concepts used in cryptography, including modular arithmetic, prime numbers, and RSA encryption","Prime numbers, modular arithmetic, Fermat’s theorem, RSA encryption, discrete logarithm problem.","Number Theory, Modular Arithmetic, Cryptography, RSA Algorithm.",Beginner
Mathematical Induction and Recurrence Relations,Development,Computer Science,"Master mathematical induction and recurrence relations, which are widely used in algorithm analysis.","Inductive proofs, strong induction, recurrence relations, closed-form solutions.","Induction, Recurrence Relations, Algorithm Analysis.",Intermediate
Automata Theory and Formal Languages,Development,Computer Science,"Learn about finite automata, regular languages, context-free grammars, and Turing machines.","DFA, NFA, regular expressions, CFGs, pushdown automata, Turing machines.","Automata Theory, Formal Languages, Turing Machines, Regular Expressions.",Intermediate
Linear Algebra for Computer Science,Development,Computer Science,Understand the importance of linear algebra in computer science applications like machine learning and graphics.,"Matrices, vectors, eigenvalues, eigenvectors, transformations.","Linear Algebra, Matrices, Vectors, Eigenvalues.",Intermediate
Set Theory and Cardinality,Development,Computer Science,"Learn about set theory fundamentals, countable vs uncountable sets, and cardinality concepts.","Set notation, Cartesian products, cardinality, countable/uncountable sets, Cantor’s theorem.","Set Theory, Cardinality, Cantor’s Theorem, Discrete Structures.",Intermediate
Discrete Math for Computer Science Interviews,Development,Career Development,Master discrete math concepts frequently tested in technical interviews.,"Logical reasoning, proof strategies, combinatorics, recursion, graph theory.","Discrete Mathematics, Interviews, Logical Reasoning, Graphs.",Intermediate
Introduction to Lattices and Boolean Algebra,Development,Computer Science,"Learn about partially ordered sets, lattices, and Boolean algebra for theoretical computer science.","Lattices, Boolean algebra, distributive laws, De Morgan’s laws, logic functions.","Lattices, Boolean Algebra, Logic, Discrete Mathematics.",Beginner
Recursion and Generating Functions in Discrete Math,Development,Computer Science,"Covers recursive sequences, recurrence relations, and generating functions used in algorithm analysis.","Recursion, recurrence relations, generating functions, combinatorial counting.","Recursion, Generating Functions, Counting, Recurrence Relations.",Intermediate
Computational Thinking for Beginners,Development,Computer Science,Learn how to break down complex problems and think logically to solve real-world challenges using computational thinking.,"Decomposition, pattern recognition, abstraction, algorithms, logical reasoning.","Computational Thinking, Problem-Solving, Logical Reasoning, Algorithms.",Beginner
Mastering Computational Thinking for Problem-Solving,Development,Computer Science,Develop problem-solving skills using computational thinking principles applicable in programming and real-world scenarios.,"Algorithm design, abstraction, logical thinking, debugging techniques.","Computational Thinking, Problem-Solving, Algorithm Design, Debugging.",Intermediate
Computational Thinking and Python Programming,Development,Programming Languages,Learn computational thinking and apply it using Python programming to build effective algorithms.,"Algorithmic thinking, Python programming, recursion, data representation.","Python, Computational Thinking, Algorithms, Programming.",Beginner
Introduction to Algorithmic Thinking,Development,Computer Science,Learn the fundamental concepts of algorithmic problem-solving and computational thinking.,"Flowcharts, pseudo-code, pattern recognition, debugging strategies.","Algorithmic Thinking, Flowcharts, Computational Thinking, Logical Reasoning.",Beginner
Computational Thinking for Artificial Intelligence,Development,AI & Machine Learning,Understand computational thinking concepts in AI and machine learning applications.,"Pattern recognition, heuristics, problem-solving, AI algorithms.","AI, Machine Learning, Computational Thinking, Heuristics.",Intermediate
Problem-Solving Strategies with Computational Thinking,Development,Software Engineering,Develop structured thinking for solving problems in programming and real-life scenarios.,"Logical reasoning, algorithm design, decomposition, abstraction.","Computational Thinking, Problem-Solving, Logical Reasoning, Algorithms.",Intermediate
Logical Reasoning and Computational Thinking,Development,Computer Science,"Enhance logical reasoning skills for programming, mathematics, and problem-solving.","Logic, deduction, inductive reasoning, computational models.","Logical Thinking, Deduction, Computational Thinking, Problem-Solving.",Intermediate
Computational Thinking for Data Science,Development,Data Science,Learn how computational thinking applies to data analysis and problem-solving in data science.,"Data abstraction, pattern recognition, algorithmic thinking, data wrangling.","Data Science, Computational Thinking, Data Analysis, Pattern Recognition.",Intermediate
Developing a Problem-Solving Mindset with Computational Thinking,Development,Personal Development,Train your mind to think critically and solve problems efficiently using computational thinking techniques.,"Critical thinking, pattern analysis, logic building, algorithm design.","Computational Thinking, Problem-Solving, Logical Thinking, Critical Thinking.",Intermediate
Computational Thinking for Kids and Beginners,Teaching & Academics,STEM Education,A beginner-friendly course to teach young learners how to think computationally and solve problems.,"Logical thinking, basic coding, pattern recognition, problem-solving.","Kids Coding, Computational Thinking, Logical Reasoning, STEM Learning.",Beginner
From Computational Thinking to Coding,Development,Programming Languages,A step-by-step approach to transitioning from computational thinking concepts to actual coding in programming languages.,"Decomposition, algorithms, flowcharts, programming basics.","Computational Thinking, Coding, Algorithm Design, Programming Logic.",Intermediate
Computational Thinking for Game Development,Development,Game Development,Learn how to apply computational thinking in game design and development.,"AI behavior, game logic, event-driven programming, problem-solving.","Game Development, Computational Thinking, AI, Game Logic.",Intermediate
Algorithmic and Computational Thinking for Competitive Programming,Development,Software Engineering,Develop computational thinking strategies used in competitive programming and coding challenges.,"Algorithm optimization, recursion, dynamic programming, complexity analysis.","Competitive Programming, Computational Thinking, Algorithms, Problem-Solving.",Intermediate
Computational Thinking for Business and Decision Making,Business,Data & Analytics,Use computational thinking to make data-driven decisions and solve business problems efficiently.,"Decision modeling, pattern analysis, data-driven strategies, problem-solving.","Business, Decision Making, Computational Thinking, Data Analysis.",Intermediate
Creative Problem-Solving with Computational Thinking,Development,Creativity & Innovation,Learn to apply computational thinking creatively to solve complex problems in different domains.,"Divergent thinking, abstraction, logical deduction, problem decomposition.","Creativity, Problem-Solving, Computational Thinking, Logical Deduction.",Intermediate
The Complete C Programming Course for Beginners,Development,Programming Languages,"Learn the fundamentals of C programming from scratch, including data types, loops, functions, and pointers.","Variables, loops, functions, pointers, memory management, file handling.","C Programming, Pointers, Memory Management, Functions, C Basics.",Beginner
Master C++: From Beginner to Advanced,Development,Programming Languages,"A comprehensive C++ course covering OOP concepts, data structures, STL, and memory management.","Object-oriented programming, pointers, dynamic memory allocation, STL.","C++, Object-Oriented Programming, STL, Pointers, Memory Management.",Beginner
Java Programming for Complete Beginners,Development,Programming Languages,"Learn Java from scratch, including syntax, OOP concepts, and Java Collections Framework.","OOP, exception handling, multi-threading, collections, Java basics.","Java, Object-Oriented Programming, Java Collections, Multi-threading, Java Basics.",Beginner
Python for Absolute Beginners,Development,Programming Languages,"A beginner-friendly course covering Python basics, data types, loops, and file handling.","Python syntax, loops, functions, file handling, exception handling.","Python, Loops, Functions, File Handling, Beginner Python.",Beginner
JavaScript Essentials for Beginners,Development,Web Development,"Learn JavaScript basics, DOM manipulation, and event handling for web development.","JavaScript syntax, DOM manipulation, event handling, ES6 features.","JavaScript, ES6, DOM, Event Handling, Web Development.",Beginner
C# for Beginners: Learn to Code with C#,Development,Game Development,Master C# programming from basics to advanced topics like OOP and LINQ.,"C# syntax, OOP, exception handling, LINQ, .NET framework.","C#, OOP, .NET, LINQ, C# Programming.",Beginner
Kotlin for Android Development,Development,Mobile Development,Learn Kotlin and use it to develop Android apps with Jetpack Compose.,"Kotlin syntax, Android Studio, Jetpack Compose, MVVM architecture.","Kotlin, Android, Jetpack Compose, Mobile Development, MVVM.",Intermediate
PHP & MySQL: Web Development from Scratch,Development,Web Development,Build dynamic websites using PHP and MySQL database.,"PHP syntax, database connectivity, CRUD operations, sessions.","PHP, MySQL, Web Development, Backend Development, CRUD.",Intermediate
R Programming for Data Science,Data Science,Programming Languages,Learn R programming for statistical analysis and data visualization.,"R syntax, data visualization, statistical analysis, machine learning.","R Programming, Data Science, Data Analysis, Visualization, R Basics.",Intermediate
Shell Scripting for DevOps,IT & Software,DevOps,Master shell scripting for automation and DevOps workflows.,"Bash scripting, process automation, Linux commands, scripting best practices.","Shell Scripting, DevOps, Bash, Automation, Linux Commands.",Intermediate
Software Development Life Cycle (SDLC) - A Complete Guide,Development,Software Engineering,"Learn the fundamentals of SDLC, including waterfall, agile, and DevOps models, and best practices for software development.","SDLC phases, software requirements, design, development, testing, deployment, and maintenance.","SDLC, Software Engineering, Agile, Waterfall, Software Development.",Intermediate
Agile Software Development: Scrum & Kanban Explained,IT & Software,Project Management,"Learn how to implement Agile methodologies, including Scrum and Kanban, in software development.","Agile principles, Scrum framework, Kanban boards, sprint planning, backlog grooming.","Agile, Scrum, Kanban, Software Development, Project Management.",Intermediate
Software Engineering 101: Understanding SDLC Models,Development,Software Engineering,"A beginner’s guide to different SDLC models, including waterfall, iterative, V-model, spiral, and agile.","SDLC models, software process improvement, requirement analysis, software quality.","SDLC, Software Engineering, Development Models, Agile, Waterfall.",Beginner
Software Testing & Quality Assurance (QA) Fundamentals,IT & Software,Software Testing,Learn the importance of testing in SDLC and explore different testing methodologies.,"Unit testing, integration testing, system testing, UAT, automated testing tools.","Software Testing, QA, Test Automation, SDLC Testing, Bug Tracking.",Intermediate
DevOps Essentials: Understanding CI/CD and SDLC Integration,IT & Software,DevOps,"Learn how DevOps integrates into SDLC with CI/CD pipelines, automation, and infrastructure as code.","CI/CD, Jenkins, Git, Docker, Kubernetes, deployment automation.","DevOps, CI/CD, Software Development, SDLC Automation, Continuous Integration.",Intermediate
Software Requirements Engineering & Documentation,Development,Software Engineering,Learn how to gather and document software requirements effectively for better SDLC management.,"Requirements gathering, use case modeling, UML diagrams, functional vs. non-functional requirements.","Software Requirements, Business Analysis, SDLC, Use Cases, Documentation.",Intermediate
Agile Scrum Master Certification Prep,Business,Project Management,Prepare for Scrum Master certification with a deep dive into Agile and Scrum methodologies.,"Scrum framework, sprint planning, Agile ceremonies, backlog management.","Scrum, Agile, SDLC, Project Management, Certification.",Intermediate
Introduction to Software Architecture & Design Patterns,Development,Software Engineering,"Learn software architecture principles, including layered architecture, microservices, and design patterns.","MVC, microservices, monolithic vs. distributed systems, SOLID principles.","Software Architecture, Design Patterns, Microservices, System Design, SDLC.",Beginner
Waterfall vs. Agile: Choosing the Right SDLC Model,Development,Software Engineering,Understand the key differences between Waterfall and Agile methodologies and when to use each.,"SDLC comparison, project management, risk analysis, iterative development.","Waterfall, Agile, SDLC, Iterative Development, Software Lifecycle.",Intermediate
Secure Software Development Life Cycle (SSDLC),IT & Software,Cybersecurity,Learn how to integrate security best practices into SDLC to prevent vulnerabilities.,"Secure coding, threat modeling, OWASP Top 10, penetration testing.","Cybersecurity, Secure SDLC, Threat Modeling, Secure Coding, Penetration Testing.",Intermediate
Software Project Management with SDLC,Business,Project Management,Learn project management best practices using SDLC methodologies.,"Project planning, risk assessment, software cost estimation, stakeholder communication.","SDLC, Project Management, Risk Assessment, Software Planning, Agile.",Intermediate
Microservices Development and SDLC Best Practices,Development,Software Engineering,Understand SDLC best practices for building scalable microservices applications.,"Microservices architecture, REST APIs, API gateways, service discovery.","Microservices, API Development, SDLC, Software Design, Kubernetes.",Intermediate
Business Analyst Guide to Software Development Life Cycle,Business,Business Analysis,Learn how business analysts contribute to SDLC through requirement analysis and stakeholder management.,"Process modeling, user stories, stakeholder communication, requirement documentation.","Business Analysis, SDLC, Requirement Gathering, UML, Process Modeling.",Intermediate
Mastering Object-Oriented Programming in Java,Development,Programming Languages,"Learn OOP principles using Java, covering encapsulation, inheritance, polymorphism, and abstraction.","OOP concepts, Java syntax, design patterns, Java classes and objects.","Java, OOP, Object-Oriented Programming, Java Classes, Inheritance.",Intermediate
Object-Oriented Programming (OOP) for Beginners in Python,Development,Programming Languages,"Learn how to write clean, reusable, and efficient code using Python's OOP features.","Python classes, constructors, inheritance, polymorphism, magic methods.","Python, OOP, Object-Oriented, Classes, Inheritance.",Beginner
C++ Object-Oriented Programming and STL,Development,Programming Languages,Learn OOP in C++ along with the Standard Template Library (STL) for efficient coding.,"C++ classes, constructors, destructors, function overloading, STL containers.","C++, OOP, STL, Object-Oriented, Polymorphism.",Intermediate
Design Patterns and Object-Oriented Programming in C#,Development,Software Development,Master OOP principles in C# and learn how to implement design patterns effectively.,"C# OOP, interfaces, dependency injection, SOLID principles, design patterns.","C#, OOP, Design Patterns, SOLID, Object-Oriented.",Intermediate
Object-Oriented Programming with JavaScript (ES6+),Development,Web Development,Learn how to apply OOP principles in JavaScript using ES6+ features.,"JavaScript classes, prototypes, closures, encapsulation, inheritance.","JavaScript, OOP, Object-Oriented, Classes, Prototypes.",Intermediate
UML & Object-Oriented Design Foundations,Development,Software Engineering,Learn how to design software systems using UML and OOP principles.,"UML diagrams, class relationships, software architecture, design principles.","UML, OOP, Software Design, Object-Oriented, Class Diagrams.",Beginner
Object-Oriented Programming and Data Structures in Python,Development,Data Science,Learn how to implement OOP with data structures in Python.,"Python OOP, linked lists, stacks, queues, trees, recursion.","Python, OOP, Data Structures, Object-Oriented, Algorithms.",Intermediate
SOLID Principles and Object-Oriented Design Patterns,Development,Software Engineering,Learn the five SOLID principles of OOP and how to apply them to real-world projects.,"SOLID principles, dependency injection, design patterns, clean code.","SOLID, OOP, Object-Oriented, Design Patterns, Clean Code.",Intermediate
Python OOP: Build Real-World Applications,Development,Software Development,Learn OOP in Python by building real-world applications like a banking system.,"Python OOP, project-based learning, MVC architecture, unit testing.","Python, OOP, Object-Oriented, Real-World Applications, Project-Based Learning.",Beginner
OOP Principles and Java Web Development,Development,Web Development,Learn how OOP principles are applied in Java web applications using Spring Boot.,"Java OOP, Spring Boot, MVC, REST APIs.","Java, OOP, Object-Oriented, Spring Boot, Web Development.",Intermediate
Object-Oriented Analysis & Design for Software Engineers,Development,Software Engineering,"Learn OOP-based software development, from requirements to implementation.","OOP analysis, design patterns, software architecture, UML modeling.","OOP, Software Engineering, UML, Object-Oriented, Design Patterns.",Intermediate
Functional Programming in JavaScript – Master the Concepts,Development,Web Development,"Learn how to write pure functions, use higher-order functions, and apply functional programming techniques in JavaScript.","JavaScript functional programming, pure functions, higher-order functions, currying, immutability.","JavaScript, Functional Programming, Higher-Order Functions, ES6, Pure Functions.",Intermediate
Functional Programming in Python – From Beginner to Expert,Development,Programming Languages,"Learn how to leverage Python’s functional programming capabilities to write cleaner, more efficient code.","Lambda functions, list comprehensions, map/filter/reduce, decorators, immutability.","Python, Functional Programming, Lambda, Map-Reduce, Decorators.",Beginner
Functional Programming in Java 8+,Development,Programming Languages,"Learn functional programming in Java using Java 8+ features like Streams, Lambda expressions, and Optional.","Java Streams API, lambda expressions, functional interfaces, method references.","Java, Functional Programming, Streams API, Lambdas, Java 8+.",Intermediate
