course_name,category,mentor_list,Skills_Covered,Tags,Difficulty_Level,Description
Computer Science 101: Master the Theory Behind Programming,Computer Science,M001; M002; M003; M008; M004,"Algorithm analysis, data structures (arrays, linked lists, stacks, queues, trees), sorting algorithms, graph theory, hashing algorithms.","Computer Science, Programming Theory, Algorithms, Data Structures",Beginner,"This course provides a comprehensive introduction to core computer science concepts, covering topics like data structures, algorithms, and programming paradigms."
Foundations of Computer Science: Theory and Practice,Computer Science,M001; M002; M003; M019; M011,"Algorithm design, data structures, computational theory, problem-solving.","Computer Science, Theory, Practice, Algorithms",Beginner,Learn the fundamental topics of computer science and practice them for full mastery.
The Complete Theory of Computation,Computer Science,M001; M004; M019; M002; M008,"Automata theory, formal languages, Turing machines, decidability, complexity theory.","Theory of Computation, Automata, Turing Machines, Complexity",Intermediate,This course is designed to give you the theory of computation knowledge and skills you need to become an advanced developer.
Theory of Automata and Computation,Computer Science,M001; M002; M003; M010; M019,"Automata theory, formal languages, grammar, Turing machines, computational theory.","Automata, Computation, Formal Languages, Turing Machines",Intermediate,"This is the most compendious and extensive, yet very straightforward course on the theory of automata and computation."
Operating Systems from Scratch - Part 1,Operating Systems,M017; M024; M019; M008; M015,"Process management, memory management, file systems, input/output systems, operating system principles.","Operating Systems, Process Management, Memory Management, File Systems",Intermediate,Learn the concepts of operating systems from scratch as operating system forms the core of computer science.
Data Structures & Algorithms Essentials using C++ (2023),Programming Languages,M002; M025; M027; M004; M005,"Arrays, linked lists, stacks, queues, trees, sorting algorithms, graph algorithms, dynamic programming.","Data Structures, Algorithms, C++, Programming",Intermediate,A comprehensive course covering essential data structures and algorithms using C++.
Discrete Mathematics,Computer Science,M001; M002; M003; M004; M019,"Set theory, logic, number theory, proofs, functions, relations, graph theory, combinatorics.","Discrete Mathematics, Logic, Graph Theory, Combinatorics",Intermediate,A foundational course covering a wide range of topics essential for computer science.
Graph Theory Algorithms,Computer Science,M002; M001; M007; M019; M036,"Graph representations, search algorithms (DFS, BFS), tree algorithms, shortest path algorithms, network flow.","Graph Theory, Algorithms, Network Flow, Search Algorithms",Intermediate,Explore the fundamentals of graph theory and its applications.
Computer Science 101 - Computers & Programming for Beginners,Computer Science,M001; M002; M003; M011; M017,"Algorithms, programming fundamentals, variables, loops, conditional statements, object-oriented programming.","Computer Science, Programming Theory, Algorithms, Data Structures",Beginner,An introductory course covering the basics of computers and programming for beginners.
Computational Thinking for Problem Solving,Computer Science,M001; M019; M037; M025; M005,"Problem-solving techniques, abstraction, pattern recognition, algorithms, computational models.","Computational Thinking, Problem Solving, Algorithms, Programming Fundamentals.",Intermediate,Learn to think computationally and solve real-world problems using a structured approach.
Introduction to Information Theory,Computer Science,M001; M002; M017; M024; M036,"Entropy, Shannon’s theorem, Huffman coding, lossless/lossy compression, error correction.","Information Theory, Entropy, Data Compression, Coding Theory.",Beginner,"Learn the principles of information theory, entropy, coding theory, and data compression."
Mathematical Foundations of Computer Science,Computer Science,M001; M002; M019; M004; M036,"Logic, proof techniques, set theory, combinatorics, probability, graph theory.","Mathematics, Logic, Proof Techniques, Graph Theory.",Beginner,Covers essential mathematical concepts required for theoretical and applied computer science.
Introduction to Cryptography,Security,M008; M019; M024; M017; M006,"Symmetric/asymmetric encryption, hashing, RSA, digital signatures, cryptographic protocols.","Cryptography, Encryption, Cybersecurity, Hashing, Security Protocols.",Beginner,"Learn the fundamentals of cryptographic techniques, encryption methods, and security principles."
Functional Programming Principles in Scala,Programming Languages,M002; M004; M003; M011; M024,"Lambda calculus, higher-order functions, recursion, immutability, monads.","Functional Programming, Scala, Lambda Calculus, Higher-Order Functions.",Intermediate,Understand the fundamentals of functional programming and how they apply to real-world scenarios.
Introduction to Quantum Computing and Quantum Algorithms,Computer Science,M001; M002; M019; M036; M017,"Quantum mechanics basics, qubits, quantum gates, Shor’s algorithm, Grover’s search.","Quantum Computing, Qubits, Quantum Algorithms, Superposition, Entanglement.",Beginner,A beginner’s guide to the principles of quantum computing and key quantum algorithms.
Discrete Mathematics for Computer Science,Computer Science,M001; M002; M003; M024; M017,"Set theory, logic, relations, combinatorics, graph theory, proof techniques.","Discrete Mathematics, Logic, Set Theory, Proof Techniques, Graph Theory.",Intermediate,"Learn essential discrete math concepts required in computer science, including set theory, logic, combinatorics, and graph theory."
"Master Discrete Mathematics: Set Theory, Relations, Functions",Computer Science,M001; M011; M002; M019; M017,"Set operations, types of relations, functions, equivalence relations, partial orderings.","Set Theory, Relations, Functions, Discrete Structures.",Intermediate,"Covers fundamental discrete mathematics topics, focusing on sets, relations, and functions with real-world applications."
Graph Theory for Beginners,Computer Science,M001; M002; M005; M019; M004,"Graph representation, adjacency matrices, shortest paths, Euler circuits, Hamiltonian paths.","Graph Theory, Graph Algorithms, Trees, Euler Circuits.",Beginner,"A comprehensive introduction to graph theory, covering paths, cycles, trees, and applications in computer science."
Logic and Proof Techniques in Discrete Mathematics,Computer Science,M001; M002; M011; M019; M005,"Propositional logic, predicate logic, direct and indirect proofs, mathematical induction.","Logic, Proof Techniques, Induction, Discrete Structures.",Intermediate,"Learn logic, proof strategies, and mathematical reasoning, essential for theoretical computer science."
Combinatorics and Probability in Discrete Mathematics,Computer Science,M001; M002; M019; M018; M017,"Counting principles, probability theory, binomial coefficients, Pascal’s triangle, inclusion-exclusion principle.","Combinatorics, Probability, Counting, Binomial Theorem.",Intermediate,"Covers permutations, combinations, binomial theorem, probability, and their applications in computer science."
Boolean Algebra and Digital Logic,Hardware,M001; M002; M008; M019; M010,"Boolean expressions, Karnaugh maps, logic simplification, combinational and sequential circuits.","Boolean Algebra, Logic Gates, Digital Circuits, Karnaugh Maps.",Intermediate,"Understand Boolean algebra, logic gates, and circuit design for digital computing."
Introduction to Number Theory for Cryptography,Security,M008; M019; M024; M014; M015,"Prime numbers, modular arithmetic, Fermat’s theorem, RSA encryption, discrete logarithm problem.","Number Theory, Modular Arithmetic, Cryptography, RSA Algorithm.",Beginner,"Learn number theory concepts used in cryptography, including modular arithmetic, prime numbers, and RSA encryption"
Mathematical Induction and Recurrence Relations,Computer Science,M001; M002; M024; M017; M011,"Inductive proofs, strong induction, recurrence relations, closed-form solutions.","Induction, Recurrence Relations, Algorithm Analysis.",Intermediate,"Master mathematical induction and recurrence relations, which are widely used in algorithm analysis."
Automata Theory and Formal Languages,Computer Science,M001; M002; M003; M019; M025,"DFA, NFA, regular expressions, CFGs, pushdown automata, Turing machines.","Automata Theory, Formal Languages, Turing Machines, Regular Expressions.",Intermediate,"Learn about finite automata, regular languages, context-free grammars, and Turing machines."
Linear Algebra for Computer Science,Computer Science,M001; M003; M002; M019; M024,"Matrices, vectors, eigenvalues, eigenvectors, transformations.","Linear Algebra, Matrices, Vectors, Eigenvalues.",Intermediate,Understand the importance of linear algebra in computer science applications like machine learning and graphics.
Set Theory and Cardinality,Computer Science,M001; M002; M019; M024; M005,"Set notation, Cartesian products, cardinality, countable/uncountable sets, Cantor’s theorem.","Set Theory, Cardinality, Cantor’s Theorem, Discrete Structures.",Intermediate,"Learn about set theory fundamentals, countable vs uncountable sets, and cardinality concepts."
Discrete Math for Computer Science Interviews,Career Development,M001; M002; M019; M022; M024,"Logical reasoning, proof strategies, combinatorics, recursion, graph theory.","Discrete Mathematics, Interviews, Logical Reasoning, Graphs.",Intermediate,Master discrete math concepts frequently tested in technical interviews.
Introduction to Lattices and Boolean Algebra,Computer Science,M001; M002; M019; M017; M008,"Lattices, Boolean algebra, distributive laws, De Morgan’s laws, logic functions.","Lattices, Boolean Algebra, Logic, Discrete Mathematics.",Beginner,"Learn about partially ordered sets, lattices, and Boolean algebra for theoretical computer science."
Recursion and Generating Functions in Discrete Math,Computer Science,M001; M002; M019; M024; M005,"Recursion, recurrence relations, generating functions, combinatorial counting.","Recursion, Generating Functions, Counting, Recurrence Relations.",Intermediate,"Covers recursive sequences, recurrence relations, and generating functions used in algorithm analysis."
Mathematical Structures in Discrete Mathematics,Computer Science,M001; M002; M019; M024; M008,"Groups, rings, fields, modular arithmetic, abstract algebra.","Mathematical Structures, Groups, Rings, Fields, Abstract Algebra.",Intermediate,"Covers mathematical structures used in discrete mathematics, including groups, rings, and fields."
Computational Thinking for Beginners,Computer Science,M001; M002; M019; M004; M011,"Decomposition, pattern recognition, abstraction, algorithms, logical reasoning.","Computational Thinking, Problem-Solving, Logical Reasoning, Algorithms.",Beginner,Learn how to break down complex problems and think logically to solve real-world challenges using computational thinking.
Mastering Computational Thinking for Problem-Solving,Computer Science,M001; M002; M019; M024; M036,"Algorithm design, abstraction, logical thinking, debugging techniques.","Computational Thinking, Problem-Solving, Algorithm Design, Debugging.",Intermediate,Develop problem-solving skills using computational thinking principles applicable in programming and real-world scenarios.
Computational Thinking and Python Programming,Programming Languages,M003; M005; M011; M024; M019,"Algorithmic thinking, Python programming, recursion, data representation.","Python, Computational Thinking, Algorithms, Programming.",Intermediate,Learn computational thinking and apply it using Python programming to build effective algorithms.
Introduction to Algorithmic Thinking,Computer Science,M001; M002; M003; M024; M017,"Flowcharts, pseudo-code, pattern recognition, debugging strategies.","Algorithmic Thinking, Flowcharts, Computational Thinking, Logical Reasoning.",Beginner,Learn the fundamental concepts of algorithmic problem-solving and computational thinking.
Computational Thinking for Artificial Intelligence,AI & Machine Learning,M005; M014; M037; M015; M003,"Pattern recognition, heuristics, problem-solving, AI algorithms.","AI, Machine Learning, Computational Thinking, Heuristics.",Intermediate,Understand computational thinking concepts in AI and machine learning applications.
Problem-Solving Strategies with Computational Thinking,Software Engineering,M001; M005; M037; M024; M017,"Logical reasoning, algorithm design, decomposition, abstraction.","Computational Thinking, Problem-Solving, Logical Reasoning, Algorithms.",Intermediate,Develop structured thinking for solving problems in programming and real-life scenarios.
Logical Reasoning and Computational Thinking,Computer Science,M001; M019; M011; M024; M002,"Logic, deduction, inductive reasoning, computational models.","Logical Thinking, Deduction, Computational Thinking, Problem-Solving.",Intermediate,"Enhance logical reasoning skills for programming, mathematics, and problem-solving."
