Hours_Studied,Current_CGPA,Extracurricular_Activities,Sleep_Hours,Attendance_Percentage,Solved_Past_Papers,Project_Participation,Final_Label
8.0,9.68,0,7.6,52.2,6.82,0,Average Performer
6.1,8.93,1,5.0,86.77,6.82,0,Average Performer
8.4,7.32,1,8.3,67.13,12.27,0,Average Performer
11.1,7.21,1,7.6,73.95,2.73,0,Average Performer
5.8,7.43,0,5.5,96.49,10.91,1,Average Performer
5.8,8.39,0,5.2,66.63,9.55,0,Average Performer
11.2,9.04,0,7.6,73.35,8.18,1,Average Performer
8.8,9.68,0,6.4,50.7,12.27,0,Average Performer
5.1,7.32,0,9.0,54.11,4.09,0,Average Performer
8.1,6.57,0,8.4,62.93,8.18,1,Average Performer
5.1,7.0,0,7.7,51.4,9.55,0,Average Performer
5.1,6.79,1,7.8,81.66,9.55,1,Average Performer
7.2,8.39,1,9.0,71.34,6.82,1,Average Performer
1.0,7.32,0,8.3,77.45,6.82,0,Needs Improvement
1.3,7.11,0,7.7,58.72,1.36,0,Needs Improvement
4.8,7.32,1,5.5,64.83,9.55,0,Average Performer
3.5,7.11,1,9.0,83.27,5.45,0,Needs Improvement
7.4,6.79,0,5.3,98.4,9.55,0,Average Performer
3.8,9.68,1,6.5,52.51,6.82,0,Needs Improvement
2.3,6.79,0,4.5,94.59,6.82,1,Needs Improvement
10.9,8.39,0,7.8,78.86,4.09,1,Average Performer
5.8,6.57,0,7.2,78.26,6.82,0,Average Performer
6.7,8.18,1,8.1,75.05,6.82,0,Average Performer
2.2,9.46,0,4.4,53.51,5.45,0,Needs Improvement
4.9,6.89,0,8.7,54.51,4.09,0,Average Performer
6.8,6.57,0,5.8,80.06,4.09,0,Average Performer
3.0,7.54,0,6.8,67.03,6.82,1,Needs Improvement
7.6,6.36,1,8.4,95.99,13.64,1,Average Performer
4.7,6.57,0,7.4,70.34,2.73,0,Average Performer
5.6,10.0,0,7.5,57.21,6.82,0,Average Performer
4.7,8.71,0,8.2,85.77,4.09,0,Average Performer
12.1,6.57,1,7.6,64.73,5.45,1,Average Performer
6.5,9.14,0,6.5,76.35,8.18,0,Average Performer
3.3,7.0,0,6.8,84.97,4.09,1,Needs Improvement
9.0,8.39,1,7.3,95.09,5.45,1,Average Performer
2.8,7.64,1,5.7,89.68,5.45,0,Needs Improvement
7.1,8.82,0,8.5,83.87,6.82,1,High Performer
1.0,8.5,1,7.4,84.07,10.91,0,Needs Improvement
2.5,7.21,1,7.1,97.39,6.82,1,Needs Improvement
7.1,6.68,1,8.8,64.83,8.18,0,Average Performer
8.7,6.36,0,6.8,50.1,4.09,0,Average Performer
7.0,8.29,0,6.7,63.63,5.45,0,Average Performer
6.2,6.14,0,6.3,60.92,6.82,0,Average Performer
5.6,7.64,1,7.5,83.17,8.18,1,Average Performer
2.1,7.75,0,7.5,81.76,9.55,0,Needs Improvement
4.3,7.54,0,6.0,79.76,6.82,0,Average Performer
5.1,7.96,0,6.7,50.8,2.73,1,Needs Improvement
9.7,6.79,0,6.0,86.47,8.18,0,Average Performer
7.5,6.36,1,5.9,66.23,5.45,1,Average Performer
1.2,8.18,0,4.4,83.37,2.73,0,Needs Improvement
7.5,7.11,1,6.7,77.86,5.45,0,Average Performer
5.3,8.5,0,4.4,67.13,2.73,1,Average Performer
4.5,7.75,1,6.3,56.71,4.09,0,Average Performer
8.3,8.18,1,6.1,54.71,5.45,0,Average Performer
9.6,7.21,1,8.6,91.68,9.55,0,Average Performer
9.3,7.0,0,5.5,95.99,6.82,0,Average Performer
4.0,9.79,1,5.9,82.57,6.82,0,Average Performer
5.6,9.89,0,6.4,55.21,9.55,0,Average Performer
7.5,9.36,0,6.1,70.14,12.27,0,Average Performer
9.4,8.07,1,9.0,86.47,9.55,1,High Performer
5.1,7.64,0,5.3,89.08,8.18,0,Average Performer
5.9,6.04,1,6.4,55.91,8.18,0,Average Performer
3.2,8.18,0,7.5,50.0,12.27,0,Needs Improvement
2.9,6.89,0,8.3,85.67,2.73,0,Needs Improvement
8.9,6.25,1,6.4,67.84,4.09,0,Average Performer
10.6,7.96,1,4.1,62.73,12.27,0,Average Performer
6.3,9.89,1,6.8,50.6,4.09,0,Average Performer
9.5,6.25,0,9.0,77.05,10.91,0,Average Performer
7.6,7.64,0,7.4,92.69,6.82,0,High Performer
4.6,7.21,0,7.4,98.0,5.45,0,Average Performer
7.6,8.29,0,5.4,78.36,12.27,0,High Performer
11.1,8.5,1,5.3,75.75,2.73,0,Average Performer
6.4,7.0,0,7.0,54.31,6.82,1,Average Performer
11.2,7.11,0,4.9,77.45,13.64,0,Average Performer
1.0,8.5,1,8.2,69.04,6.82,0,Needs Improvement
9.0,6.79,1,5.7,80.46,5.45,1,Average Performer
6.8,6.25,1,7.0,69.44,9.55,1,Average Performer
5.6,7.96,0,4.2,62.02,4.09,0,Average Performer
6.8,7.64,0,6.4,54.71,8.18,0,Average Performer
1.0,7.86,1,5.2,65.73,4.09,0,Needs Improvement
5.8,9.04,0,4.0,54.81,4.09,1,Average Performer
7.6,8.71,1,7.8,58.82,5.45,1,Average Performer
10.9,7.64,0,9.0,99.5,1.36,0,Average Performer
4.9,7.75,1,8.7,72.24,2.73,0,Average Performer
4.1,6.57,0,8.0,76.65,5.45,1,Average Performer
5.0,6.14,0,6.4,93.79,6.82,0,Average Performer
9.2,7.75,0,8.2,99.9,10.91,0,High Performer
7.5,8.5,0,8.8,79.16,9.55,1,High Performer
4.9,9.04,1,7.2,90.68,9.55,1,Average Performer
8.0,9.14,1,5.2,66.33,2.73,1,Average Performer
6.8,9.14,1,6.3,65.33,8.18,0,Average Performer
9.4,8.61,1,9.0,70.14,10.91,0,Average Performer
4.4,7.11,0,6.9,83.67,8.18,0,Average Performer
5.5,7.21,1,4.0,84.17,5.45,0,Average Performer
5.3,7.21,1,4.8,65.83,5.45,0,Average Performer
2.1,7.54,0,6.4,56.71,5.45,0,Needs Improvement
7.4,7.64,0,8.6,81.66,1.36,0,Average Performer
7.3,6.36,0,6.6,56.41,8.18,1,Average Performer
6.5,9.25,1,8.6,78.96,10.91,0,Average Performer
5.8,6.79,1,6.2,84.77,9.55,0,Average Performer
2.3,7.64,0,4.1,85.07,9.55,0,Needs Improvement
5.2,7.54,1,6.3,87.78,8.18,0,Average Performer
5.5,7.75,1,7.5,93.69,8.18,1,Average Performer
4.1,8.5,0,7.4,75.05,5.45,0,Average Performer
6.0,6.57,0,5.1,86.57,4.09,0,Average Performer
7.7,7.11,0,6.5,81.06,8.18,0,Average Performer
12.2,9.57,1,9.0,59.32,4.09,0,Average Performer
7.0,7.0,1,5.2,51.3,13.64,0,Average Performer
7.3,7.43,0,8.0,64.23,6.82,0,Average Performer
6.3,8.07,1,4.0,72.24,8.18,0,Average Performer
1.0,8.29,0,8.3,80.96,8.18,0,Needs Improvement
6.4,7.54,0,5.7,92.59,5.45,0,Average Performer
6.7,8.5,0,7.6,59.82,8.18,0,Average Performer
13.9,7.96,1,5.1,56.31,6.82,0,Average Performer
5.9,6.79,1,7.4,98.3,4.09,0,Average Performer
7.4,6.89,0,5.6,55.41,2.73,1,Needs Improvement
6.4,8.18,0,5.9,73.95,4.09,1,Average Performer
3.0,7.21,0,7.7,79.36,2.73,0,Needs Improvement
9.9,8.61,1,6.4,77.15,10.91,0,High Performer
8.8,6.89,1,7.6,54.31,9.55,0,Average Performer
8.9,9.04,0,6.7,52.91,5.45,0,Average Performer
3.8,7.21,0,7.1,55.31,4.09,1,Needs Improvement
